float,integer
983.6739626891352,983
989.7444028167981,989
989.9007179225882,989
990.5226737600532,990
990.6683991231022,990
991.0381510167371,991
992.2492025631564,992
992.3056512352939,992
992.3222859244181,992
992.741621016487,992
992.9310150368036,992
992.9328927376332,992
993.1507817056845,993
993.2518620904655,993
993.294096185424,993
993.5401838437813,993
993.8817463664266,993
994.0182933138699,994
994.146436023836,994
994.5159251712024,994
994.5481345943234,994
994.6059104214418,994
994.7455543520912,994
994.9817461411201,994
995.0441524863814,995
995.248857022077,995
995.4982864689347,995
995.7400312037342,995
995.7743353785598,995
995.9050903588428,995
995.9382189931066,995
995.9513411890847,995
996.0527468439894,996
996.4074033740308,996
996.4289261062795,996
996.7210544837833,996
996.9827422838221,996
996.9950303394928,996
997.1118505981221,997
997.1121226216441,997
997.1981000906201,997
997.4064112794948,997
997.4502327789083,997
997.493124025083,997
997.520039076123,997
997.6286564842487,997
997.6830878693014,997
997.7989155893968,997
998.079241515039,998
998.2584734619434,998
998.2862654247151,998
998.2899991017885,998
998.361378792378,998
998.401054129922,998
998.4939701585064,998
998.6373493857051,998
998.7555586225463,998
998.786094097274,998
998.9257515920535,998
999.1989809355523,999
999.2211723784459,999
999.2617240387841,999
999.2691457128763,999
999.3124811112091,999
999.3773500631761,999
999.4237945161967,999
999.4270779355904,999
999.5440778581429,999
999.6231368517703,999
1000.1578192948701,1000
1000.4668679318995,1000
1000.4808022054216,1000
1000.599502295161,1000
1000.6432000706486,1000
1000.8586278446987,1000
1000.9547508973437,1000
1000.9801801452046,1000
1001.1212234762223,1001
1001.2152346160349,1001
1001.3990765003135,1001
1001.8273126579679,1001
1001.8404645812857,1001
1002.0250196538698,1002
1002.0474821565264,1002
1002.1922142844728,1002
1002.4305459533329,1002
1002.4468312839338,1002
1002.4859092518019,1002
1002.5112510680316,1002
1002.5553083971615,1002
1002.5888247785582,1002
1002.9492135884152,1002
1002.9974308902131,1002
1003.0062994395738,1003
1003.2581663609949,1003
1003.2956108534707,1003
1003.3772066357051,1003
1003.5048214780459,1003
1003.5266824721626,1003
1003.6226200081002,1003
1003.6463332313706,1003
1003.7498913441977,1003
1003.9046147713939,1003
1003.9234124582368,1003
1004.1603846472902,1004
1004.222739436998,1004
1004.3009719228439,1004
1004.5644832585319,1004
1004.7273977490642,1004
1004.8523445591707,1004
1005.2822295930656,1005
1005.3918184495712,1005
1005.5127770722158,1005
1005.844715938489,1005
1006.5430993418737,1006
1007.028513211622,1007
1007.1629300850936,1007
1007.4394240264605,1007
1007.5232624355541,1007
1007.6642963883986,1007
1007.6901022538394,1007
1007.8133494734457,1007
1007.9204445634313,1007
1008.029977045153,1008
1008.4459690921547,1008
1009.4556377398969,1009
1012.1443980081635,1012
1012.6593767778209,1012
